Nr,Model_Name,NDS,,,,,,,,,,,,,,,,,,,,,,
1,M_Base,0.216397059,,,,,,,,,,,,,,,,,,,,,,
2,M_Base,0.179141184,,,,,,,,,,,,,,,,,,,,,,
3,M_Base,0.24813559,,,,,,,,,,,,,,,,,,,,,,
4,M_Base,0.226872921,,,,,,,,,,,,,,,,,,,,,,
5,M_Base,0.380027334,,,,,,,,,,,,,,,,,,,,,,
6,M_Base,0.297978841,,,,,,,,,,,,,,,,,,,,,,
7,M_Base,0.2985429,,,,,,,,,,,,,,,,,,,,,,
8,M_Base,0.423057116,,,,,,,,,,,,,,,,,,,,,,
9,M_Base,0.385393381,,,,,,,,,,,,,,,,,,,,,,
10,M_Base,0.298252419,,,,,,,,,,,,,,,,,,,,,,
11,M_Base,0.232498416,,,,,,,,,,,,,,,,,,,,,,
12,M_Base,0.165254791,,,,,,,,,,,,,,,,,,,,,,
13,M_Base,0.215086392,,,,,,,,,,,,,,,,,,,,,,
14,M_Base,0.186270189,,,,,,,,,,,,,,,,,,,,,,
15,M_Base,0.232409059,,,,,,,,,,,,,,,,,,,,,,
16,M_Base,0.240850671,,,,,,,,,,,,,,,,,,,,,,
17,M_Base,0.250480611,,,,,,,,,,,,,,,,,,,,,,
18,M_Base,0.190349924,,,,,,,,,,,,,,,,,,,,,,
19,M_Base,0.538178236,,,,,,,,,,,,,,,,,,,,,,
20,M_Base,0.471971575,,,,,,,,,,,,,,,,,,,,,,
21,M_Base,0.431275342,,,,,,,,,,,,,,,,,,,,,,
22,M_Base,0.074405711,,,,,,,,,,,,,,,,,,,,,,
23,M_Base,0.213496998,,,,,,,,,,,,,,,,,,,,,,
24,M_Base,0.145443521,,,,,,,,,,,,,,,,,,,,,,
25,M_Base,0.222500483,,,,,,,,,,,,,,,,,,,,,,
26,M_Base,0.190973093,,,,,,,,,,,,,,,,,,,,,,
27,M_Base,0.210691128,,,,,,,,,,,,,,,,,,,,,,
28,M_Base,0.273803291,,,,,,,,,,,,,,,,,,,,,,
29,M_Base,0.131679148,,,,,,,,,,,,,,,,,,,,,,
30,M_Base,0.247648912,,,,,,,,,,,,,,,,,,,,,,
31,M_Base,0.238462039,,,,,,,,,,,,,,,,,,,,,,
32,M_Base,0.360670765,,,,,,,,,,,,,,,,,,,,,,
33,M_Base,0.357183848,,,,,,,,,,,,,,,,,,,,,,
34,M_Base,0.127186003,,,,,,,,,,,,,,,,,,,,,,
35,M_Base,0.189288819,,,,,,,,,,,,,,,,,,,,,,
36,M_Base,0.418347691,,,,,,,,,,,,,,,,,,,,,,
37,M_Base,0.216397059,,,,,,,,,,,,,,,,,,,,,,
38,M_Base,0.338626291,,,,,,,,,,,,,,,,,,,,,,
39,M_Base,0.47575543,,,,,,,,,,,,,,,,,,,,,,
40,M_Base,0.510160068,,,,,,,,,,,,,,,,,,,,,,
41,M_Base,0.339454764,,,,,,,,,,,,,,,,,,,,,,
42,M_Base,0.477906244,,,,,,,,,,,,,,,,,,,,,,
43,M_Base,0.092009996,,,,,,,,,,,,,,,,,,,,,,
44,M_Base,0.280426483,,,,,,,,,,,,,,,,,,,,,,
45,M_Base,0.611069505,,,,,,,,,,,,,,,,,,,,,,
46,M_Base,0.377765393,,,,,,,,,,,,,,,,,,,,,,
47,M_Base,0.148990028,,,,,,,,,,,,,,,,,,,,,,
48,M_Base,0.236288696,,,,,,,,,,,,,,,,,,,,,,
49,M_Base,0.343759578,,,,,,,,,,,,,,,,,,,,,,
50,M_Base,0.182288763,,,,,,,,,,,,,,,,,,,,,,
51,M_Base,0.319627067,,,,,,,,,,,,,,,,,,,,,,
52,M_Base,0.132682392,,,,,,,,,,,,,,,,,,,,,,
53,M_Base,0.214558047,,,,,,,,,,,,,,,,,,,,,,
54,M_Base,0.369004878,,,,,,,,,,,,,,,,,,,,,,
55,M_Base,0.473246118,,,,,,,,,,,,,,,,,,,,,,
56,M_Base,0.461477974,,,,,,,,,,,,,,,,,,,,,,
57,M_Base,0.259546646,,,,,,,,,,,,,,,,,,,,,,
58,M_Base,0.190974771,,,,,,,,,,,,,,,,,,,,,,
59,M_Base,0.554141296,,,,,,,,,,,,,,,,,,,,,,
60,M_Base,0.187031778,,,,,,,,,,,,,,,,,,,,,,
61,M_Base,0.259549847,,,,,,,,,,,,,,,,,,,,,,
62,M_Base,0.264994931,,,,,,,,,,,,,,,,,,,,,,
63,M_Base,0.168356932,,,,,,,,,,,,,,,,,,,,,,
64,M_Base,0.123097386,,,,,,,,,,,,,,,,,,,,,,
65,M_Base,0.248452141,,,,,,,,,,,,,,,,,,,,,,
66,M_Base,0.241120654,,,,,,,,,,,,,,,,,,,,,,
67,M_Base,0.118619883,,,,,,,,,,,,,,,,,,,,,,
68,M_Base,0.216384762,,,,,,,,,,,,,,,,,,,,,,
69,M_Base,0.388588603,,,,,,,,,,,,,,,,,,,,,,
70,M_Base,0.330971596,,,,,,,,,,,,,,,,,,,,,,
71,M_Base,0.34994179,,,,,,,,,,,,,,,,,,,,,,
72,M_Base,0.48570402,,,,,,,,,,,,,,,,,,,,,,
73,M_Base,0.216397059,,,,,,,,,,,,,,,,,,,,,,
1,M_GT,0.168621691,,,,,,,,,,,,,,,,,,,,,,
2,M_GT,0.207583967,,,,,,,,,,,,,,,,,,,,,,
3,M_GT,0.166887736,,,,,,,,,,,,,,,,,,,,,,
4,M_GT,0.165212451,,,,,,,,,,,,,,,,,,,,,,
5,M_GT,0.245403608,,,,,,,,,,,,,,,,,,,,,,
6,M_GT,0.298925684,,,,,,,,,,,,,,,,,,,,,,
7,M_GT,0.235438529,,,,,,,,,,,,,,,,,,,,,,
8,M_GT,0.388938969,,,,,,,,,,,,,,,,,,,,,,
9,M_GT,0.420453963,,,,,,,,,,,,,,,,,,,,,,
10,M_GT,0.23909717,,,,,,,,,,,,,,,,,,,,,,
11,M_GT,0.246663301,,,,,,,,,,,,,,,,,,,,,,
12,M_GT,0.142520817,,,,,,,,,,,,,,,,,,,,,,
13,M_GT,0.201650291,,,,,,,,,,,,,,,,,,,,,,
14,M_GT,0.152111997,,,,,,,,,,,,,,,,,,,,,,
15,M_GT,0.226680304,,,,,,,,,,,,,,,,,,,,,,
16,M_GT,0.165035624,,,,,,,,,,,,,,,,,,,,,,
17,M_GT,0.229160659,,,,,,,,,,,,,,,,,,,,,,
18,M_GT,0.177959344,,,,,,,,,,,,,,,,,,,,,,
19,M_GT,0.414796316,,,,,,,,,,,,,,,,,,,,,,
20,M_GT,0.389294554,,,,,,,,,,,,,,,,,,,,,,
21,M_GT,0.399047152,,,,,,,,,,,,,,,,,,,,,,
22,M_GT,0.056772328,,,,,,,,,,,,,,,,,,,,,,
23,M_GT,0.210743965,,,,,,,,,,,,,,,,,,,,,,
24,M_GT,0.15450877,,,,,,,,,,,,,,,,,,,,,,
25,M_GT,0.202162629,,,,,,,,,,,,,,,,,,,,,,
26,M_GT,0.128519946,,,,,,,,,,,,,,,,,,,,,,
27,M_GT,0.25017191,,,,,,,,,,,,,,,,,,,,,,
28,M_GT,0.298108474,,,,,,,,,,,,,,,,,,,,,,
29,M_GT,0.123608238,,,,,,,,,,,,,,,,,,,,,,
30,M_GT,0.190049146,,,,,,,,,,,,,,,,,,,,,,
31,M_GT,0.215918732,,,,,,,,,,,,,,,,,,,,,,
32,M_GT,0.295410343,,,,,,,,,,,,,,,,,,,,,,
33,M_GT,0.266269256,,,,,,,,,,,,,,,,,,,,,,
34,M_GT,0.10322607,,,,,,,,,,,,,,,,,,,,,,
35,M_GT,0.134974801,,,,,,,,,,,,,,,,,,,,,,
36,M_GT,0.392263258,,,,,,,,,,,,,,,,,,,,,,
37,M_GT,0.168621691,,,,,,,,,,,,,,,,,,,,,,
38,M_GT,0.371337704,,,,,,,,,,,,,,,,,,,,,,
39,M_GT,0.421662958,,,,,,,,,,,,,,,,,,,,,,
40,M_GT,0.469016718,,,,,,,,,,,,,,,,,,,,,,
41,M_GT,0.197197082,,,,,,,,,,,,,,,,,,,,,,
42,M_GT,0.336667443,,,,,,,,,,,,,,,,,,,,,,
43,M_GT,0.152371872,,,,,,,,,,,,,,,,,,,,,,
44,M_GT,0.242684157,,,,,,,,,,,,,,,,,,,,,,
45,M_GT,0.404264093,,,,,,,,,,,,,,,,,,,,,,
46,M_GT,0.250459139,,,,,,,,,,,,,,,,,,,,,,
47,M_GT,0.147446549,,,,,,,,,,,,,,,,,,,,,,
48,M_GT,0.220641972,,,,,,,,,,,,,,,,,,,,,,
49,M_GT,0.398067207,,,,,,,,,,,,,,,,,,,,,,
50,M_GT,0.188757017,,,,,,,,,,,,,,,,,,,,,,
51,M_GT,0.288054672,,,,,,,,,,,,,,,,,,,,,,
52,M_GT,0.191189496,,,,,,,,,,,,,,,,,,,,,,
53,M_GT,0.240910546,,,,,,,,,,,,,,,,,,,,,,
54,M_GT,0.370030662,,,,,,,,,,,,,,,,,,,,,,
55,M_GT,0.441607965,,,,,,,,,,,,,,,,,,,,,,
56,M_GT,0.348309767,,,,,,,,,,,,,,,,,,,,,,
57,M_GT,0.15983571,,,,,,,,,,,,,,,,,,,,,,
58,M_GT,0.158441997,,,,,,,,,,,,,,,,,,,,,,
59,M_GT,0.372947539,,,,,,,,,,,,,,,,,,,,,,
60,M_GT,0.148810995,,,,,,,,,,,,,,,,,,,,,,
61,M_GT,0.291860641,,,,,,,,,,,,,,,,,,,,,,
62,M_GT,0.204181077,,,,,,,,,,,,,,,,,,,,,,
63,M_GT,0.303326898,,,,,,,,,,,,,,,,,,,,,,
64,M_GT,0.109153659,,,,,,,,,,,,,,,,,,,,,,
65,M_GT,0.223134214,,,,,,,,,,,,,,,,,,,,,,
66,M_GT,0.349012065,,,,,,,,,,,,,,,,,,,,,,
67,M_GT,0.141351433,,,,,,,,,,,,,,,,,,,,,,
68,M_GT,0.304729606,,,,,,,,,,,,,,,,,,,,,,
69,M_GT,0.286090161,,,,,,,,,,,,,,,,,,,,,,
70,M_GT,0.42187438,,,,,,,,,,,,,,,,,,,,,,
71,M_GT,0.400512334,,,,,,,,,,,,,,,,,,,,,,
72,M_GT,0.417353505,,,,,,,,,,,,,,,,,,,,,,
73,M_GT,0.168621691,,,,,,,,,,,,,,,,,,,,,,
1,M_C_DO,0.17596349,,,,,,,,,,,,,,,,,,,,,,
2,M_C_DO,0.148386144,,,,,,,,,,,,,,,,,,,,,,
3,M_C_DO,0.194956441,,,,,,,,,,,,,,,,,,,,,,
4,M_C_DO,0.174435073,,,,,,,,,,,,,,,,,,,,,,
5,M_C_DO,0.315288644,,,,,,,,,,,,,,,,,,,,,,
6,M_C_DO,0.225926018,,,,,,,,,,,,,,,,,,,,,,
7,M_C_DO,0.252319882,,,,,,,,,,,,,,,,,,,,,,
8,M_C_DO,0.347467655,,,,,,,,,,,,,,,,,,,,,,
9,M_C_DO,0.312643994,,,,,,,,,,,,,,,,,,,,,,
10,M_C_DO,0.235009698,,,,,,,,,,,,,,,,,,,,,,
11,M_C_DO,0.182417081,,,,,,,,,,,,,,,,,,,,,,
12,M_C_DO,0.138276842,,,,,,,,,,,,,,,,,,,,,,
13,M_C_DO,0.17874748,,,,,,,,,,,,,,,,,,,,,,
14,M_C_DO,0.147463942,,,,,,,,,,,,,,,,,,,,,,
15,M_C_DO,0.195658237,,,,,,,,,,,,,,,,,,,,,,
16,M_C_DO,0.176908769,,,,,,,,,,,,,,,,,,,,,,
17,M_C_DO,0.214875912,,,,,,,,,,,,,,,,,,,,,,
18,M_C_DO,0.157555164,,,,,,,,,,,,,,,,,,,,,,
19,M_C_DO,0.458194703,,,,,,,,,,,,,,,,,,,,,,
20,M_C_DO,0.383828054,,,,,,,,,,,,,,,,,,,,,,
21,M_C_DO,0.338434186,,,,,,,,,,,,,,,,,,,,,,
22,M_C_DO,0.057870856,,,,,,,,,,,,,,,,,,,,,,
23,M_C_DO,0.173145159,,,,,,,,,,,,,,,,,,,,,,
24,M_C_DO,0.12256867,,,,,,,,,,,,,,,,,,,,,,
25,M_C_DO,0.177796894,,,,,,,,,,,,,,,,,,,,,,
26,M_C_DO,0.15067329,,,,,,,,,,,,,,,,,,,,,,
27,M_C_DO,0.171678673,,,,,,,,,,,,,,,,,,,,,,
28,M_C_DO,0.215573612,,,,,,,,,,,,,,,,,,,,,,
29,M_C_DO,0.104470565,,,,,,,,,,,,,,,,,,,,,,
30,M_C_DO,0.196201348,,,,,,,,,,,,,,,,,,,,,,
31,M_C_DO,0.196879073,,,,,,,,,,,,,,,,,,,,,,
32,M_C_DO,0.2928013,,,,,,,,,,,,,,,,,,,,,,
33,M_C_DO,0.286675586,,,,,,,,,,,,,,,,,,,,,,
34,M_C_DO,0.102512463,,,,,,,,,,,,,,,,,,,,,,
35,M_C_DO,0.163942261,,,,,,,,,,,,,,,,,,,,,,
36,M_C_DO,0.338627188,,,,,,,,,,,,,,,,,,,,,,
37,M_C_DO,0.17596349,,,,,,,,,,,,,,,,,,,,,,
38,M_C_DO,0.262664528,,,,,,,,,,,,,,,,,,,,,,
39,M_C_DO,0.372336923,,,,,,,,,,,,,,,,,,,,,,
40,M_C_DO,0.424543057,,,,,,,,,,,,,,,,,,,,,,
41,M_C_DO,0.289445024,,,,,,,,,,,,,,,,,,,,,,
42,M_C_DO,0.395062979,,,,,,,,,,,,,,,,,,,,,,
43,M_C_DO,0.076888071,,,,,,,,,,,,,,,,,,,,,,
44,M_C_DO,0.221610659,,,,,,,,,,,,,,,,,,,,,,
45,M_C_DO,0.504097602,,,,,,,,,,,,,,,,,,,,,,
46,M_C_DO,0.310028498,,,,,,,,,,,,,,,,,,,,,,
47,M_C_DO,0.126471342,,,,,,,,,,,,,,,,,,,,,,
48,M_C_DO,0.174470102,,,,,,,,,,,,,,,,,,,,,,
49,M_C_DO,0.288391584,,,,,,,,,,,,,,,,,,,,,,
50,M_C_DO,0.145009021,,,,,,,,,,,,,,,,,,,,,,
51,M_C_DO,0.274457108,,,,,,,,,,,,,,,,,,,,,,
52,M_C_DO,0.112259094,,,,,,,,,,,,,,,,,,,,,,
53,M_C_DO,0.172933562,,,,,,,,,,,,,,,,,,,,,,
54,M_C_DO,0.305027643,,,,,,,,,,,,,,,,,,,,,,
55,M_C_DO,0.392300355,,,,,,,,,,,,,,,,,,,,,,
56,M_C_DO,0.381427566,,,,,,,,,,,,,,,,,,,,,,
57,M_C_DO,0.203213388,,,,,,,,,,,,,,,,,,,,,,
58,M_C_DO,0.153542222,,,,,,,,,,,,,,,,,,,,,,
59,M_C_DO,0.449263547,,,,,,,,,,,,,,,,,,,,,,
60,M_C_DO,0.157164799,,,,,,,,,,,,,,,,,,,,,,
61,M_C_DO,0.203617705,,,,,,,,,,,,,,,,,,,,,,
62,M_C_DO,0.218354826,,,,,,,,,,,,,,,,,,,,,,
63,M_C_DO,0.145224824,,,,,,,,,,,,,,,,,,,,,,
64,M_C_DO,0.102104485,,,,,,,,,,,,,,,,,,,,,,
65,M_C_DO,0.216588146,,,,,,,,,,,,,,,,,,,,,,
66,M_C_DO,0.218180192,,,,,,,,,,,,,,,,,,,,,,
67,M_C_DO,0.0964058,,,,,,,,,,,,,,,,,,,,,,
68,M_C_DO,0.173073673,,,,,,,,,,,,,,,,,,,,,,
69,M_C_DO,0.325100127,,,,,,,,,,,,,,,,,,,,,,
70,M_C_DO,0.250857982,,,,,,,,,,,,,,,,,,,,,,
71,M_C_DO,0.274235923,,,,,,,,,,,,,,,,,,,,,,
72,M_C_DO,0.399731328,,,,,,,,,,,,,,,,,,,,,,
73,M_C_DO,0.17596349,,,,,,,,,,,,,,,,,,,,,,
1,M_C_UP,0.207347309,,,,,,,,,,,,,,,,,,,,,,
2,M_C_UP,0.160472218,,,,,,,,,,,,,,,,,,,,,,
3,M_C_UP,0.239376872,,,,,,,,,,,,,,,,,,,,,,
4,M_C_UP,0.222878741,,,,,,,,,,,,,,,,,,,,,,
5,M_C_UP,0.379932015,,,,,,,,,,,,,,,,,,,,,,
6,M_C_UP,0.279760751,,,,,,,,,,,,,,,,,,,,,,
7,M_C_UP,0.307097789,,,,,,,,,,,,,,,,,,,,,,
8,M_C_UP,0.404582031,,,,,,,,,,,,,,,,,,,,,,
9,M_C_UP,0.380316061,,,,,,,,,,,,,,,,,,,,,,
10,M_C_UP,0.282829657,,,,,,,,,,,,,,,,,,,,,,
11,M_C_UP,0.213570293,,,,,,,,,,,,,,,,,,,,,,
12,M_C_UP,0.163068321,,,,,,,,,,,,,,,,,,,,,,
13,M_C_UP,0.215830952,,,,,,,,,,,,,,,,,,,,,,
14,M_C_UP,0.176304373,,,,,,,,,,,,,,,,,,,,,,
15,M_C_UP,0.240620224,,,,,,,,,,,,,,,,,,,,,,
16,M_C_UP,0.230684082,,,,,,,,,,,,,,,,,,,,,,
17,M_C_UP,0.26336331,,,,,,,,,,,,,,,,,,,,,,
18,M_C_UP,0.19277043,,,,,,,,,,,,,,,,,,,,,,
19,M_C_UP,0.544558989,,,,,,,,,,,,,,,,,,,,,,
20,M_C_UP,0.463875568,,,,,,,,,,,,,,,,,,,,,,
21,M_C_UP,0.43176515,,,,,,,,,,,,,,,,,,,,,,
22,M_C_UP,0.07231429,,,,,,,,,,,,,,,,,,,,,,
23,M_C_UP,0.216109746,,,,,,,,,,,,,,,,,,,,,,
24,M_C_UP,0.157089651,,,,,,,,,,,,,,,,,,,,,,
25,M_C_UP,0.210853754,,,,,,,,,,,,,,,,,,,,,,
26,M_C_UP,0.174825032,,,,,,,,,,,,,,,,,,,,,,
27,M_C_UP,0.20845029,,,,,,,,,,,,,,,,,,,,,,
28,M_C_UP,0.247948594,,,,,,,,,,,,,,,,,,,,,,
29,M_C_UP,0.116186599,,,,,,,,,,,,,,,,,,,,,,
30,M_C_UP,0.243694878,,,,,,,,,,,,,,,,,,,,,,
31,M_C_UP,0.225165373,,,,,,,,,,,,,,,,,,,,,,
32,M_C_UP,0.354008204,,,,,,,,,,,,,,,,,,,,,,
33,M_C_UP,0.347943794,,,,,,,,,,,,,,,,,,,,,,
34,M_C_UP,0.125178819,,,,,,,,,,,,,,,,,,,,,,
35,M_C_UP,0.190934716,,,,,,,,,,,,,,,,,,,,,,
36,M_C_UP,0.40442957,,,,,,,,,,,,,,,,,,,,,,
37,M_C_UP,0.207347309,,,,,,,,,,,,,,,,,,,,,,
38,M_C_UP,0.325348067,,,,,,,,,,,,,,,,,,,,,,
39,M_C_UP,0.454200146,,,,,,,,,,,,,,,,,,,,,,
