Nr,Model_Name,lid_pos,cam_pos,ra_pos,lid_dim,cam_dim,ra_dim,lid_yaw,cam_yaw,ra_yaw,lid_vel,cam_vel,ra_vel,lid_drop,cam_drop,ra_drop,lid_clas,cam_clas,ra_clas,lid_at,cam_at,ra_at,FP,NDS,,,,,,,,,,,,,,,,,,,,,,
1,M_Base,1.5,1.1,0.95,1.7,1.05,0.85,3.8,2.75,1.9,10,16,38.5,4,2.5,3.5,0.9,0.9,0.9,0.9,0.9,0.9,4,0.216397059,,,,,,,,,,,,,,,,,,,,,,
2,M_Base,3,0.733333333,0,0,0.7,0,2.533333333,0,2.533333333,20,32,77,8,1.666666667,0,0,0,0,0,0.6,0.6,2.666666667,0.179141184,,,,,,,,,,,,,,,,,,,,,,
3,M_Base,3,0,1.266666667,3.4,0.7,1.7,0,0,1.266666667,13.33333333,0,25.66666667,0,0,0,1.2,0.6,1.8,1.8,1.8,1.2,8,0.24813559,,,,,,,,,,,,,,,,,,,,,,
4,M_Base,3,0,0,2.266666667,0.7,0.566666667,7.6,0,3.8,0,32,0,0,1.666666667,4.666666667,1.2,1.8,1.8,1.8,1.2,1.8,5.333333333,0.226872921,,,,,,,,,,,,,,,,,,,,,,
5,M_Base,0,1.466666667,1.266666667,3.4,2.1,0,5.066666667,5.5,3.8,20,32,0,0,3.333333333,7,1.8,1.8,0,1.2,0,1.8,0,0.380027334,,,,,,,,,,,,,,,,,,,,,,
6,M_Base,1,2.2,1.266666667,3.4,1.4,0.566666667,0,0,0,0,32,51.33333333,8,1.666666667,4.666666667,0,0,0.6,1.2,1.8,1.8,8,0.297978841,,,,,,,,,,,,,,,,,,,,,,
7,M_Base,0,1.466666667,1.9,1.133333333,0,1.133333333,7.6,3.666666667,0,0,0,77,8,3.333333333,0,1.8,0,0,0.6,0.6,1.8,8,0.2985429,,,,,,,,,,,,,,,,,,,,,,
8,M_Base,2,1.466666667,0,0,1.4,1.7,0,5.5,0,0,10.66666667,0,0,5,7,1.2,0,1.8,1.2,0,1.2,0,0.423057116,,,,,,,,,,,,,,,,,,,,,,
9,M_Base,1,2.2,0.633333333,0,1.4,0,0,5.5,2.533333333,13.33333333,0,25.66666667,2.666666667,0,7,0,1.8,0,1.8,0,0,5.333333333,0.385393381,,,,,,,,,,,,,,,,,,,,,,
10,M_Base,2,2.2,0,0,0.7,1.7,5.066666667,1.833333333,1.266666667,6.666666667,0,51.33333333,0,1.666666667,2.333333333,1.2,0,1.8,0,0,1.8,0,0.298252419,,,,,,,,,,,,,,,,,,,,,,
11,M_Base,3,1.466666667,0.633333333,0,2.1,0.566666667,7.6,1.833333333,1.266666667,20,0,0,0,5,7,0,1.8,0,1.8,1.8,1.2,8,0.232498416,,,,,,,,,,,,,,,,,,,,,,
12,M_Base,1,0,0,2.266666667,2.1,1.7,5.066666667,3.666666667,1.266666667,13.33333333,0,51.33333333,8,3.333333333,7,0.6,1.8,1.8,1.8,1.8,1.8,2.666666667,0.165254791,,,,,,,,,,,,,,,,,,,,,,
13,M_Base,0,2.2,1.9,3.4,0,0,5.066666667,5.5,3.8,6.666666667,21.33333333,25.66666667,8,0,0,0,1.2,0,0.6,1.8,0.6,8,0.215086392,,,,,,,,,,,,,,,,,,,,,,
14,M_Base,3,1.466666667,1.9,3.4,2.1,1.7,5.066666667,5.5,1.266666667,13.33333333,0,25.66666667,0,3.333333333,0,0,1.2,0.6,0,0,0,0,0.186270189,,,,,,,,,,,,,,,,,,,,,,
15,M_Base,0,0,1.9,3.4,2.1,1.7,7.6,1.833333333,0,20,32,0,5.333333333,0,4.666666667,0,1.2,1.2,1.8,0,0,8,0.232409059,,,,,,,,,,,,,,,,,,,,,,
16,M_Base,3,0,1.9,0,0.7,0.566666667,0,5.5,2.533333333,0,21.33333333,0,8,0,7,1.8,0,0.6,1.8,1.2,1.8,2.666666667,0.240850671,,,,,,,,,,,,,,,,,,,,,,
17,M_Base,3,0.733333333,1.9,2.266666667,0,1.7,2.533333333,5.5,0,0,32,0,0,5,2.333333333,1.8,1.8,1.2,0.6,1.8,1.8,8,0.250480611,,,,,,,,,,,,,,,,,,,,,,
18,M_Base,2,0,0,1.133333333,2.1,0.566666667,5.066666667,0,3.8,0,32,51.33333333,8,0,0,1.2,0,0,0.6,0,0,2.666666667,0.190349924,,,,,,,,,,,,,,,,,,,,,,
19,M_Base,0,1.466666667,1.9,2.266666667,0,0.566666667,2.533333333,0,3.8,20,21.33333333,77,0,0,4.666666667,0.6,1.2,0,0,0,0,8,0.538178236,,,,,,,,,,,,,,,,,,,,,,
20,M_Base,0,0.733333333,1.9,1.133333333,0,1.7,0,5.5,0,20,10.66666667,0,2.666666667,0,0,1.2,1.8,0,0,0,0,0,0.471971575,,,,,,,,,,,,,,,,,,,,,,
21,M_Base,2,2.2,0,0,0,1.133333333,0,0,2.533333333,0,0,0,0,5,4.666666667,0.6,1.2,1.8,0.6,1.8,1.2,8,0.431275342,,,,,,,,,,,,,,,,,,,,,,
22,M_Base,3,2.2,0.633333333,3.4,2.1,1.133333333,7.6,3.666666667,2.533333333,20,21.33333333,51.33333333,8,5,7,1.8,0,0,0,1.8,0,0,0.074405711,,,,,,,,,,,,,,,,,,,,,,
23,M_Base,3,0,1.9,3.4,2.1,1.7,0,3.666666667,0,0,0,51.33333333,8,0,2.333333333,0,1.8,0,1.8,1.2,1.8,0,0.213496998,,,,,,,,,,,,,,,,,,,,,,
24,M_Base,3,2.2,1.266666667,2.266666667,0.7,0,7.6,3.666666667,3.8,0,0,77,8,3.333333333,0,0,0,1.8,0,1.2,0.6,8,0.145443521,,,,,,,,,,,,,,,,,,,,,,
25,M_Base,3,2.2,0,1.133333333,0.7,0,7.6,5.5,1.266666667,20,32,77,0,3.333333333,7,0,1.8,1.2,1.2,0,1.8,8,0.222500483,,,,,,,,,,,,,,,,,,,,,,
26,M_Base,3,0,1.9,0,2.1,1.7,7.6,1.833333333,3.8,0,32,51.33333333,5.333333333,5,7,1.8,0,0.6,0,0,0,8,0.190973093,,,,,,,,,,,,,,,,,,,,,,
27,M_Base,0,2.2,0,3.4,0,1.133333333,5.066666667,5.5,0,13.33333333,32,77,8,0,7,0,0,1.8,1.8,0.6,1.2,5.333333333,0.210691128,,,,,,,,,,,,,,,,,,,,,,
28,M_Base,3,2.2,1.9,0,2.1,1.7,0,3.666666667,2.533333333,20,32,77,2.666666667,3.333333333,4.666666667,0,1.8,0,0.6,1.8,0.6,0,0.273803291,,,,,,,,,,,,,,,,,,,,,,
29,M_Base,3,2.2,0.633333333,0,1.4,1.7,7.6,1.833333333,3.8,20,0,0,8,0,0,1.8,0.6,1.8,0,1.8,1.8,2.666666667,0.131679148,,,,,,,,,,,,,,,,,,,,,,
30,M_Base,2,0.733333333,0.633333333,3.4,0.7,1.133333333,0,0,2.533333333,13.33333333,21.33333333,25.66666667,2.666666667,3.333333333,2.333333333,0.6,0,1.8,0.6,1.2,1.8,2.666666667,0.247648912,,,,,,,,,,,,,,,,,,,,,,
31,M_Base,1,0.733333333,0,1.133333333,1.4,0.566666667,5.066666667,5.5,1.266666667,20,0,77,5.333333333,5,7,0,1.8,1.2,1.2,0.6,0,0,0.238462039,,,,,,,,,,,,,,,,,,,,,,
32,M_Base,1,0,1.266666667,3.4,1.4,0.566666667,7.6,0,2.533333333,0,32,0,0,5,7,0,1.2,1.8,1.8,0.6,0.6,0,0.360670765,,,,,,,,,,,,,,,,,,,,,,
33,M_Base,0,2.2,0,1.133333333,2.1,1.133333333,7.6,0,3.8,6.666666667,0,77,2.666666667,1.666666667,0,1.8,0,0.6,0,1.8,0,0,0.357183848,,,,,,,,,,,,,,,,,,,,,,
34,M_Base,3,2.2,1.9,3.4,2.1,1.7,5.066666667,0,3.8,20,21.33333333,0,2.666666667,5,0,0.6,0,0,1.2,1.2,0,0,0.127186003,,,,,,,,,,,,,,,,,,,,,,
