Factor,Coefficient (B),Std. Error,Std. Beta (β),t-value,p-value,VIF,Min,Max,AktWert,Transf,Standardisiert
Constant,0.22126412395546544,0.007268933766837467,1.8248916374750512,30.4396946034813,2.968255179920938e-26,,,,,Keine,
lid_pos,-0.12481224062207448,0.010583919639879098,-1.0293978530906862,-11.792629278079083,1.4559164742391103e-13,,0.0,3.0,1.5,Keine,((lid_pos-1.500000)/1.233221)
lid_pos³,0.032408994950455156,0.007395315641109723,0.267295496471722,4.3823680452930525,0.00010687937628457195,,,,,,
lid_drop,-0.06839117127158768,0.002380317989959574,-0.5640610610501164,-28.73194739529285,1.9679991655322277e-25,,0.0,8.0,4.0,Keine,((lid_drop-4.000000)/3.288589)
lid_yaw,-0.09329684353005875,0.011345955896895103,-0.7694723686660141,-8.222916110187777,1.3562675257214396e-09,,0.0,7.6,3.8000000000000003,Keine,((lid_yaw-3.800000)/3.124159)
lid_yaw³,0.035576470294571325,0.00777920991198163,0.29341947519928757,4.573275525034494,6.097856427008342e-05,,,,,,
cam_dim³,-0.04289044648364137,0.0076105789212775575,-0.35374201527276106,-5.635635202957927,2.562594308792126e-06,,,,,,
lid_dim³,0.03773864175695842,0.007618478998898725,0.311252138488577,4.953566422170838,1.9729289099171055e-05,,,,,,
lid_dim,-0.07789115106386577,0.010862317088122997,-0.6424128216934262,-7.170767565700415,2.717690266516243e-08,,0.0,3.4,1.7,Keine,((lid_dim-1.700000)/1.397650)
FP²,0.0144135502756507,0.003645700652759868,0.11887678352074513,3.953574812770038,0.0003698369280624575,,,,,,
cam_dim,0.05793096666257126,0.010712645571847042,0.4777897777709794,5.407718035105588,5.073307195294761e-06,,0.0,2.1,1.0499999999999998,Keine,((cam_dim-1.050000)/0.863255)
cam_yaw²,-0.006411145063605303,0.0032403681760509798,-0.05287637599834124,-1.9785236477104688,0.05601708800374519,,,,,,
ra_at³,0.030601463437878337,0.007970379718863024,0.25238775145275105,3.839398437373777,0.0005118243975495711,,,,,,
ra_at,-0.04657558720773876,0.011585027313965912,-0.38413547612897125,-4.020326059274046,0.0003054820198302762,,0.0,1.8,0.9,Keine,((ra_at-0.900000)/0.739932)
ra_vel²,-0.009267947213588042,0.0034311029737366747,-0.07643805540766814,-2.701156824650674,0.010696404925770365,,,,,,
ra_yaw,0.04359633852367124,0.01098051598316681,0.3595639101998844,3.9703360562021546,0.00035253156165127947,,0.0,3.8,1.9000000000000001,Keine,((ra_yaw-1.900000)/1.562080)
ra_drop²,-0.008441446178009055,0.0036953705022642704,-0.0696214291908661,-2.2843301295057463,0.028717083722887716,,,,,,
ra_yaw³,-0.026737081318141252,0.007638171559613623,-0.22051598440688455,-3.5004557189461387,0.0013192612920783684,,,,,,
ra_pos³,-0.011315224390870808,0.0021867489672888376,-0.0933231198891058,-5.174450547425928,1.0200333329160855e-05,,,,,,
ra_clas³,0.02611212895264982,0.00772882935566687,0.2153616452161574,3.3785360953148866,0.0018408304288172147,,,,,,
ra_clas,-0.03793404663041871,0.01125382886438651,-0.312863754113943,-3.3707680370423545,0.0018800436987122162,,0.0,1.8,0.9,Keine,((ra_clas-0.900000)/0.739932)
cam_clas,-0.00531475706356292,0.002209323382003632,-0.04383383780038174,-2.405603954068044,0.02173248700854935,,0.0,1.8,0.9000000000000002,Keine,((cam_clas-0.900000)/0.739932)
lid_at²,0.03460803853846914,0.003994897910024579,0.28543226524593845,8.663059561954165,4.0219238961911154e-10,,,,,,
cam_pos,0.006478657852363695,0.002082290390908494,0.053433192536988985,3.111313331056138,0.0037594368372378087,,0.0,2.2,1.0999999999999999,Keine,((cam_pos-1.100000)/0.904362)
cam_at,0.07459331833393791,0.011124952551222301,0.6152137111324744,6.705045975745967,1.0617748874970736e-07,,0.0,1.8,0.9,Keine,((cam_at-0.900000)/0.739932)
lid_vel²,0.04597363038070267,0.0039350416511520535,0.37917079428113465,11.683136916033169,1.8808797749869269e-13,,,,,,
cam_yaw³,0.02714477247756879,0.009121173188653934,0.22387844631083773,2.9760176587080798,0.005346395095291555,,,,,,
cam_pos²,-0.010648219285417341,0.003327203324083499,-0.0878219477273676,-3.2003512404371817,0.0029711915757874136,,,,,,
cam_at²,-0.013453919189105665,0.003613744250201412,-0.11096215771701742,-3.722985982850284,0.0007107664564755109,,,,,,
ra_vel,0.009849324468268738,0.00227104424737064,0.08123300576527129,4.336914386266162,0.0001220758974124335,,0.0,77.0,38.5,Keine,((ra_vel-38.500000)/31.652665)
lid_clas²,-0.013973882420369252,0.0042319494983557365,-0.11525059153794001,-3.3019964973113702,0.0022639180954475637,,,,,,
cam_dim²,0.012812692766421274,0.004083988933956152,0.10567359707932313,3.1372986003685477,0.003510923506135089,,,,,,
cam_at³,-0.04890480080064116,0.0077368227299383,-0.40334583129905,-6.321044504664665,3.3081754993753926e-07,,,,,,
cam_drop,0.0534209032921591,0.012025789696807038,0.44059270857595595,4.442195035752444,8.968534904156004e-05,,0.0,5.0,2.5,Keine,((cam_drop-2.500000)/2.055368)
cam_yaw,-0.03496216093195172,0.012883206025445218,-0.2883529149335448,-2.713777988405918,0.010368289399447093,,0.0,5.5,2.75,Keine,((cam_yaw-2.750000)/2.260905)
cam_clas²,-0.006235146545499431,0.0034414007177609443,-0.051424815672347975,-1.811804859957187,0.07885722844391516,,,,,,
lid_vel,-0.01241643546759466,0.0022423774989072673,-0.10240543675585971,-5.537174482728849,3.4420365024264687e-06,,0.0,20.0,9.99999999950685,Keine,((lid_vel-10.000000)/8.221471)
cam_drop³,-0.042108108131656614,0.008693357049628076,-0.34728962393750623,-4.8437108807647675,2.7363811737825427e-05,,,,,,
lid_drop²,0.02400286645172559,0.0036830276338603437,0.19796535235870763,6.517156219804717,1.8491796261374285e-07,,,,,,
