Factor,Coefficient (B),Std. Error,Std. Beta (β),t-value,p-value,VIF,Min,Max,AktWert,Transf,Standardisiert
Constant,0.2204849536945597,0.007769369047980831,0.2204849536945597,28.378746373473042,3.5482011570495714e-22,,,,,Keine,
lid_pos,-0.12322675165787031,0.011886660091838615,-0.12322675165787031,-10.366810416533896,4.3195435271430805e-11,,0.0,3.0,1.5,Keine,((lid_pos-1.500000)/1.233221)
cam_pos,0.007203504740224591,0.0024141459617174213,0.007203504740224591,2.983872911768775,0.005845821298539076,,0.0,2.2,1.0999999999999999,Keine,((cam_pos-1.100000)/0.904362)
ra_pos,0.019631117411296115,0.014541760556481247,0.019631117411296115,1.349982165849,0.18783468730375819,,0.0,1.9,0.95,Keine,((ra_pos-0.950000)/0.781040)
lid_dim,-0.07905061790165287,0.012145356607952898,-0.07905061790165287,-6.508711143968367,4.708738729120532e-07,,0.0,3.4,1.7,Keine,((lid_dim-1.700000)/1.397650)
cam_dim,0.06406261446131056,0.011512138708847826,0.06406261446131056,5.564788271016426,5.9396548476290146e-06,,0.0,2.1,1.0499999999999998,Keine,((cam_dim-1.050000)/0.863255)
ra_dim,0.0004425334493149966,0.0023786758294159285,0.0004425334493149966,0.18604193301264527,0.8537531561230336,,0.0,1.7,0.8500000000000001,Keine,((ra_dim-0.850000)/0.698825)
lid_yaw,-0.08448774148547364,0.013696723784293697,-0.08448774148547364,-6.1684635549384,1.1644940348659978e-06,,0.0,7.6,3.8000000000000003,Keine,((lid_yaw-3.800000)/3.124159)
cam_yaw,-0.0419014444979568,0.01520830802395225,-0.0419014444979568,-2.7551680589296534,0.010195737017197795,,0.0,5.5,2.75,Keine,((cam_yaw-2.750000)/2.260905)
ra_yaw,0.05201855784383112,0.012484157923774294,0.05201855784383112,4.166765444769744,0.0002682885490023382,,0.0,3.8,1.9000000000000001,Keine,((ra_yaw-1.900000)/1.562080)
lid_vel,-0.010549769376724078,0.0025973024465125428,-0.010549769376724078,-4.0618178259869175,0.0003559456639807072,,0.0,20.0,9.99999999950685,Keine,((lid_vel-10.000000)/8.221471)
